wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,4,1,1,50,0,0,0,0.04,90.59,92762
0,4,1,1,50,50,0,0,0.10,40.52,41489
0,4,1,1,50,100,0,0,0.08,48.54,49702
0,4,1,1,100,0,0,0,0.05,81.97,83936
0,4,1,1,100,50,0,0,0.10,40.55,41522
0,4,1,1,100,100,0,0,0.08,48.53,49699
0,4,1,4,0,50,0,0,0.09,171.94,44016
0,4,1,4,0,100,0,0,0.09,177.29,45385
0,4,1,4,50,0,0,0,0.04,383.61,98202
0,4,1,4,50,50,0,0,0.09,172.15,44070
0,4,1,4,50,100,0,0,0.09,177.09,45335
0,4,1,4,100,0,0,0,0.04,383.72,98231
0,4,1,4,100,50,0,0,0.09,172.20,44082
0,4,1,4,100,100,0,0,0.09,177.15,45348
0,4,1,16,0,50,0,0,0.17,365.75,23407
0,4,1,16,0,100,0,0,0.17,372.96,23869
0,4,1,16,50,0,0,0,0.13,488.20,31244
0,4,1,16,50,50,0,0,0.17,365.96,23421
0,4,1,16,50,100,0,0,0.17,372.92,23866
0,4,1,16,100,0,0,0,0.13,488.31,31251
0,4,1,16,100,50,0,0,0.17,365.68,23403
0,4,1,16,100,100,0,0,0.17,373.11,23878
0,4,1,64,0,50,0,0,0.48,514.75,8235
0,4,1,64,0,100,0,0,0.48,519.27,8308
0,4,1,64,50,0,0,0,0.48,519.76,8315
0,4,1,64,50,50,0,0,0.48,514.75,8235
0,4,1,64,50,100,0,0,0.48,519.00,8303
0,4,1,64,100,0,0,0,0.48,519.81,8316
0,4,1,64,100,50,0,0,0.48,514.77,8236
0,4,1,64,100,100,0,0,0.48,518.90,8302
0,4,1,256,0,50,0,0,1.90,527.35,2109
0,4,1,256,0,100,0,0,1.90,526.90,2107
0,4,1,256,50,0,0,0,1.90,527.70,2110
0,4,1,256,50,50,0,0,1.90,527.35,2109
0,4,1,256,50,100,0,0,1.89,528.05,2111
0,4,1,256,100,0,0,0,1.90,527.66,2110
0,4,1,256,100,50,0,0,1.90,527.65,2110
0,4,1,256,100,100,0,0,1.89,528.35,2113
0,4,4,1,0,50,0,0,0.10,40.62,41592
0,4,4,1,0,100,0,0,0.08,48.60,49765
0,4,4,1,50,0,0,0,0.05,77.34,79200
0,4,4,1,50,50,0,0,0.10,40.60,41572
0,4,4,1,50,100,0,0,0.08,48.61,49775
0,4,4,1,100,0,0,0,0.05,76.06,77883
0,4,4,1,100,50,0,0,0.10,40.59,41566
0,4,4,1,100,100,0,0,0.08,48.63,49798
0,4,4,4,0,50,0,0,0.09,172.77,44228
0,4,4,4,0,100,0,0,0.09,177.38,45410
0,4,4,4,50,0,0,0,0.04,383.82,98257
0,4,4,4,50,50,0,0,0.09,172.43,44142
0,4,4,4,50,100,0,0,0.09,177.39,45412
0,4,4,4,100,0,0,0,0.04,383.72,98232
0,4,4,4,100,50,0,0,0.09,172.36,44124
0,4,4,4,100,100,0,0,0.09,177.32,45392
0,4,4,16,0,50,0,0,0.17,365.90,23417
0,4,4,16,0,100,0,0,0.17,373.10,23878
0,4,4,16,50,0,0,0,0.13,488.30,31250
0,4,4,16,50,50,0,0,0.17,366.08,23428
0,4,4,16,50,100,0,0,0.17,373.21,23885
0,4,4,16,100,0,0,0,0.13,488.66,31273
0,4,4,16,100,50,0,0,0.17,366.12,23431
0,4,4,16,100,100,0,0,0.17,373.18,23883
0,4,4,64,0,50,0,0,0.48,514.71,8235
0,4,4,64,0,100,0,0,0.48,519.49,8311
0,4,4,64,50,0,0,0,0.48,519.66,8314
0,4,4,64,50,50,0,0,0.48,514.85,8237
0,4,4,64,50,100,0,0,0.48,519.33,8309
0,4,4,64,100,0,0,0,0.48,519.71,8315
0,4,4,64,100,50,0,0,0.48,514.76,8235
0,4,4,64,100,100,0,0,0.48,519.28,8308
0,4,4,256,0,50,0,0,1.90,527.27,2108
0,4,4,256,0,100,0,0,1.89,527.82,2110
0,4,4,256,50,0,0,0,1.90,527.57,2109
0,4,4,256,50,50,0,0,1.90,527.32,2108
0,4,4,256,50,100,0,0,1.89,528.37,2113
0,4,4,256,100,0,0,0,1.90,527.62,2110
0,4,4,256,100,50,0,0,1.90,527.21,2108
0,4,4,256,100,100,0,0,1.90,527.32,2108
0,4,16,1,0,50,0,0,0.10,40.52,41493
0,4,16,1,0,100,0,0,0.08,48.62,49784
0,4,16,1,50,0,0,0,0.05,77.16,79013
0,4,16,1,50,50,0,0,0.10,40.61,41585
0,4,16,1,50,100,0,0,0.08,48.61,49772
0,4,16,1,100,0,0,0,0.04,89.15,91290
0,4,16,1,100,50,0,0,0.10,40.60,41570
0,4,16,1,100,100,0,0,0.08,48.60,49770
0,4,16,4,0,50,0,0,0.09,172.43,44141
0,4,16,4,0,100,0,0,0.09,177.48,45435
0,4,16,4,50,0,0,0,0.04,383.71,98230
0,4,16,4,50,50,0,0,0.09,172.57,44178
0,4,16,4,50,100,0,0,0.09,177.39,45411
0,4,16,4,100,0,0,0,0.04,383.72,98231
0,4,16,4,100,50,0,0,0.09,172.36,44124
0,4,16,4,100,100,0,0,0.09,177.37,45405
0,4,16,16,0,50,0,0,0.17,365.80,23410
0,4,16,16,0,100,0,0,0.17,373.10,23878
0,4,16,16,50,0,0,0,0.13,488.55,31266
0,4,16,16,50,50,0,0,0.17,365.74,23406
0,4,16,16,50,100,0,0,0.17,373.39,23896
0,4,16,16,100,0,0,0,0.13,488.09,31237
0,4,16,16,100,50,0,0,0.17,366.04,23426
0,4,16,16,100,100,0,0,0.17,373.22,23885
0,4,16,64,0,50,0,0,0.48,514.90,8238
0,4,16,64,0,100,0,0,0.48,519.29,8308
0,4,16,64,50,0,0,0,0.48,519.72,8315
0,4,16,64,50,50,0,0,0.48,514.76,8235
0,4,16,64,50,100,0,0,0.48,518.57,8296
0,4,16,64,100,0,0,0,0.48,519.82,8316
0,4,16,64,100,50,0,0,0.48,514.66,8234
0,4,16,64,100,100,0,0,0.48,519.15,8306
0,4,16,256,0,50,0,0,1.90,527.40,2109
0,4,16,256,0,100,0,0,1.90,527.50,2109
0,4,16,256,50,0,0,0,1.90,527.65,2110
0,4,16,256,50,50,0,0,1.90,527.40,2109
0,4,16,256,50,100,0,0,1.89,527.90,2111
0,4,16,256,100,0,0,0,1.89,527.85,2111
0,4,16,256,100,50,0,0,1.90,527.25,2108
0,4,16,256,100,100,0,0,1.90,527.65,2110
0,4,64,1,0,50,0,0,0.10,40.59,41567
0,4,64,1,0,100,0,0,0.08,48.61,49776
0,4,64,1,50,0,0,0,0.04,109.60,112233
0,4,64,1,50,50,0,0,0.10,40.60,41579
0,4,64,1,50,100,0,0,0.08,48.57,49732
0,4,64,1,100,0,0,0,0.04,103.80,106294
0,4,64,1,100,50,0,0,0.10,40.60,41569
0,4,64,1,100,100,0,0,0.08,48.58,49742
0,4,64,4,0,50,0,0,0.09,172.23,44089
0,4,64,4,0,100,0,0,0.09,177.25,45374
0,4,64,4,50,0,0,0,0.04,383.77,98244
0,4,64,4,50,50,0,0,0.09,172.39,44131
0,4,64,4,50,100,0,0,0.09,177.36,45403
0,4,64,4,100,0,0,0,0.04,383.73,98234
0,4,64,4,100,50,0,0,0.09,172.45,44146
0,4,64,4,100,100,0,0,0.09,177.32,45394
0,4,64,16,0,50,0,0,0.17,365.66,23402
0,4,64,16,0,100,0,0,0.17,373.12,23879
0,4,64,16,50,0,0,0,0.13,488.39,31256
0,4,64,16,50,50,0,0,0.17,366.02,23424
0,4,64,16,50,100,0,0,0.17,373.08,23876
0,4,64,16,100,0,0,0,0.13,488.24,31247
0,4,64,16,100,50,0,0,0.17,365.92,23418
0,4,64,16,100,100,0,0,0.17,373.01,23872
0,4,64,64,0,50,0,0,0.48,514.77,8236
0,4,64,64,0,100,0,0,0.48,519.10,8305
0,4,64,64,50,0,0,0,0.48,519.67,8314
