wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,16,64,0,0,256,128,0.21,299.03,4784
0,1,16,64,0,0,256,256,0.21,298.72,4779
0,1,16,256,0,0,0,64,0.60,414.72,1659
0,1,16,256,0,0,0,128,0.60,416.27,1665
0,1,16,256,0,0,0,256,0.60,417.02,1668
0,1,16,256,0,0,64,0,0.53,467.70,1871
0,1,16,256,0,0,64,64,0.60,413.92,1655
0,1,16,256,0,0,64,128,0.60,415.82,1663
0,1,16,256,0,0,64,256,0.60,412.51,1650
0,1,16,256,0,0,128,0,0.53,468.46,1874
0,1,16,256,0,0,128,64,0.60,415.42,1661
0,1,16,256,0,0,128,128,0.60,417.07,1668
0,1,16,256,0,0,128,256,0.60,416.62,1666
0,1,16,256,0,0,256,0,0.53,467.56,1870
0,1,16,256,0,0,256,64,0.60,414.91,1659
0,1,16,256,0,0,256,128,0.60,416.26,1665
0,1,16,256,0,0,256,256,0.60,417.07,1668
0,1,64,1,0,0,0,64,0.07,13.61,13933
0,1,64,1,0,0,0,128,0.07,13.62,13950
0,1,64,1,0,0,0,256,0.07,13.58,13906
0,1,64,1,0,0,64,0,0.02,58.61,60021
0,1,64,1,0,0,64,64,0.07,13.58,13905
0,1,64,1,0,0,64,128,0.07,13.59,13911
0,1,64,1,0,0,64,256,0.07,13.54,13868
0,1,64,1,0,0,128,0,0.02,58.27,59673
0,1,64,1,0,0,128,64,0.07,13.57,13896
0,1,64,1,0,0,128,128,0.07,13.60,13931
0,1,64,1,0,0,128,256,0.07,13.54,13862
0,1,64,1,0,0,256,0,0.02,58.20,59598
0,1,64,1,0,0,256,64,0.07,13.57,13899
0,1,64,1,0,0,256,128,0.07,13.61,13941
0,1,64,1,0,0,256,256,0.07,13.54,13868
0,1,64,4,0,0,0,64,0.08,50.27,12870
0,1,64,4,0,0,0,128,0.08,50.24,12862
0,1,64,4,0,0,0,256,0.08,50.37,12895
0,1,64,4,0,0,64,0,0.02,183.47,46968
0,1,64,4,0,0,64,64,0.08,50.29,12875
0,1,64,4,0,0,64,128,0.08,50.26,12867
0,1,64,4,0,0,64,256,0.08,50.40,12901
0,1,64,4,0,0,128,0,0.02,183.40,46951
0,1,64,4,0,0,128,64,0.08,50.31,12878
0,1,64,4,0,0,128,128,0.08,50.23,12859
0,1,64,4,0,0,128,256,0.08,50.39,12899
0,1,64,4,0,0,256,0,0.02,183.20,46898
0,1,64,4,0,0,256,64,0.08,50.29,12874
0,1,64,4,0,0,256,128,0.08,50.28,12871
0,1,64,4,0,0,256,256,0.08,50.40,12903
0,1,64,16,0,0,0,64,0.10,156.94,10044
0,1,64,16,0,0,0,128,0.10,157.03,10049
0,1,64,16,0,0,0,256,0.10,157.51,10081
0,1,64,16,0,0,64,0,0.04,355.02,22721
0,1,64,16,0,0,64,64,0.10,156.95,10045
0,1,64,16,0,0,64,128,0.10,157.08,10053
0,1,64,16,0,0,64,256,0.10,157.57,10084
0,1,64,16,0,0,128,0,0.04,355.02,22721
0,1,64,16,0,0,128,64,0.10,156.90,10042
0,1,64,16,0,0,128,128,0.10,156.90,10042
0,1,64,16,0,0,128,256,0.10,157.60,10086
0,1,64,16,0,0,256,0,0.04,354.59,22693
0,1,64,16,0,0,256,64,0.10,156.97,10046
0,1,64,16,0,0,256,128,0.10,157.13,10056
0,1,64,16,0,0,256,256,0.10,157.69,10092
0,1,64,64,0,0,0,64,0.21,298.93,4783
0,1,64,64,0,0,0,128,0.21,298.28,4772
0,1,64,64,0,0,0,256,0.21,298.05,4769
0,1,64,64,0,0,64,0,0.14,433.64,6938
0,1,64,64,0,0,64,64,0.21,299.15,4786
0,1,64,64,0,0,64,128,0.21,298.62,4778
0,1,64,64,0,0,64,256,0.21,298.01,4768
0,1,64,64,0,0,128,0,0.14,434.18,6947
