wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
50,1,256,64,0,0,0,0,0.49,318.44,2026
50,1,256,256,0,0,0,0,0.70,356.46,1426
50,4,1,1,0,0,0,0,0.09,43.19,44229
50,4,1,4,0,0,0,0,0.10,98.74,40402
50,4,1,16,0,0,0,0,0.15,213.03,25665
50,4,1,64,0,0,0,0,0.35,358.39,11256
50,4,1,256,0,0,0,0,1.13,446.54,3538
50,4,4,1,0,0,0,0,0.11,87.22,35799
50,4,4,4,0,0,0,0,0.08,203.62,52125
50,4,4,16,0,0,0,0,0.14,285.76,29197
50,4,4,64,0,0,0,0,0.34,385.98,11593
50,4,4,256,0,0,0,0,1.11,459.42,3603
50,4,16,1,0,0,0,0,0.17,195.51,23509
50,4,16,4,0,0,0,0,0.14,277.31,28437
50,4,16,16,0,0,0,0,0.19,334.65,21417
50,4,16,64,0,0,0,0,0.37,419.00,10718
50,4,16,256,0,0,0,0,1.11,480.81,3602
50,4,64,1,0,0,0,0,0.40,317.73,10022
50,4,64,4,0,0,0,0,0.37,356.85,10760
50,4,64,16,0,0,0,0,0.44,357.71,9156
50,4,64,64,0,0,0,0,0.65,383.11,6129
50,4,64,256,0,0,0,0,1.35,462.46,2953
50,4,256,1,0,0,0,0,1.14,437.39,3506
50,4,256,4,0,0,0,0,1.11,455.83,3603
50,4,256,16,0,0,0,0,1.19,444.92,3367
50,4,256,64,0,0,0,0,1.48,422.87,2698
50,4,256,256,0,0,0,0,2.19,455.60,1822
50,16,1,1,0,0,0,0,0.18,87.07,89153
50,16,1,4,0,0,0,0,0.21,184.79,75617
50,16,1,16,0,0,0,0,0.41,321.37,38661
50,16,1,64,0,0,0,0,1.14,457.97,14446
50,16,1,256,0,0,0,0,4.07,498.60,3968
50,16,4,1,0,0,0,0,0.25,155.76,63827
50,16,4,4,0,0,0,0,0.21,300.79,77000
50,16,4,16,0,0,0,0,0.39,404.13,41345
50,16,4,64,0,0,0,0,1.10,486.79,14671
50,16,4,256,0,0,0,0,3.93,521.67,4100
50,16,16,1,0,0,0,0,0.46,290.74,35117
50,16,16,4,0,0,0,0,0.41,384.11,39368
50,16,16,16,0,0,0,0,0.62,401.31,25681
50,16,16,64,0,0,0,0,1.36,478.37,12209
50,16,16,256,0,0,0,0,4.13,520.11,3922
